route_id,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,cancellation_rate,sample_size,last_updated
2 316 a,weekday,evening,,75.0,1.42,2.84,0.0,4,2026-07-02 18:20:24.428456
2 330 a,weekday,evening,3.0,89.1,7.61,18.89,0.0,55,2026-07-02 18:20:24.428456
2 332 d,weekday,evening,,69.6,3.27,4.83,0.0,23,2026-07-02 18:20:24.428456
2 333 g,weekday,pm_peak,1.0,0.0,17.01,0.68,0.0,45,2026-07-02 18:20:24.428456
2 336 g,weekday,pm_peak,1.0,19.6,6.49,3.43,0.0,56,2026-07-02 18:20:24.428456
2 109A c b,weekday,evening,1.0,38.5,8.09,7.85,0.0,122,2026-07-02 18:20:24.428456
2 355 d a,weekday,pm_peak,2.5,64.7,6.61,4.57,0.0,34,2026-07-02 18:20:24.428456
2 360 c a,weekday,evening,1.0,58.7,13.99,23.45,0.0,167,2026-07-02 18:20:24.428456
2 365 c a,weekday,evening,,50.0,17.91,19.64,0.0,6,2026-07-02 18:20:24.428456
2 370 c a,weekday,evening,,54.5,4.66,1.88,0.0,22,2026-07-02 18:20:24.428456
2 405 d,weekday,evening,4.5,93.4,1.41,2.86,0.0,151,2026-07-02 18:20:24.428456
2 440 c a,weekday,evening,4.5,100.0,-0.02,1.62,0.0,51,2026-07-02 18:20:24.428456
2 446 c a,weekday,pm_peak,4.5,100.0,1.5,0.93,0.0,34,2026-07-02 18:20:24.428456
2 466 c a,weekday,evening,4.5,100.0,0.2,0.95,0.0,56,2026-07-02 18:20:24.428456
2 480 d,weekday,pm_peak,3.5,89.9,3.87,0.99,0.0,89,2026-07-02 18:20:24.428456
2 491 c a,weekday,pm_peak,,100.0,-0.2,0.0,0.0,11,2026-07-02 18:20:24.428456
2 492 c a,weekday,pm_peak,4.5,100.0,-0.49,0.99,0.0,34,2026-07-02 18:20:24.428456
2 494 d,weekday,pm_peak,4.0,97.2,4.01,5.33,0.0,36,2026-07-02 18:20:24.428456
2 51 c b,weekday,pm_peak,1.0,9.2,21.96,13.9,0.0,414,2026-07-02 18:20:24.428456
2 72 c a,weekday,pm_peak,1.0,33.8,4.45,2.69,0.0,68,2026-07-02 18:20:24.428456
2 A1 c a,weekday,pm_peak,2.0,71.7,5.05,5.47,0.0,435,2026-07-02 18:20:24.428456
2 A2 c a,weekday,evening,4.5,100.0,1.52,1.87,0.0,77,2026-07-02 18:20:24.428456
2 111A c a,weekday,pm_peak,4.5,100.0,-4.14,1.99,0.0,46,2026-07-02 18:20:24.428456
2 CW2 a,weekday,evening,1.0,53.8,6.73,8.89,0.0,182,2026-07-02 18:20:24.428456
2 D2 c a,weekday,pm_peak,1.0,47.2,6.39,5.73,0.0,197,2026-07-02 18:20:24.428456
2 D4 c a,weekday,evening,2.0,64.5,37.59,50.7,0.0,93,2026-07-02 18:20:24.428456
2 NV2 a,weekday,evening,4.5,100.0,0.06,0.34,0.0,36,2026-07-02 18:20:24.428456
2 115C d,weekday,evening,1.5,57.1,5.07,4.2,0.0,42,2026-07-02 18:20:24.428456
2 S3 a,weekday,evening,4.5,100.0,1.0,1.46,0.0,81,2026-07-02 18:20:24.428456
10000 GREEN g a,weekday,pm_peak,,79.2,-5.69,16.86,0.0,24,2026-07-02 18:20:24.428456
3 L1 a,weekday,pm_peak,3.5,77.3,3.42,3.49,0.0,44,2026-07-02 18:20:24.428456
3 111 e a,weekday,pm_peak,,0.0,13.68,7.1,0.0,26,2026-07-02 18:20:24.428456
3 161 d a,weekday,evening,4.5,100.0,-0.57,0.78,0.0,37,2026-07-02 18:20:24.428456
3 270 d b,weekday,pm_peak,,0.0,23.58,0.54,0.0,6,2026-07-02 18:20:24.428456
3 33A d a,weekday,evening,1.0,43.3,7.24,6.05,0.0,203,2026-07-02 18:20:24.428456
3 45A d a,weekday,pm_peak,2.5,72.0,2.9,2.92,0.0,107,2026-07-02 18:20:24.428456
WFRD W5 b c,weekday,evening,2.5,60.9,4.04,3.77,0.0,591,2026-07-02 18:20:24.428456
WFRD W1 c c,weekday,pm_peak,4.5,99.6,1.29,1.57,0.0,540,2026-07-02 18:20:24.428456
03C 130 e a,weekday,evening,1.0,0.0,10.32,1.43,0.0,35,2026-07-02 18:20:24.428456
03C 120X e a,weekday,pm_peak,4.5,100.0,-0.25,1.39,0.0,148,2026-07-02 18:20:24.428456
03C 120X e a,weekday,evening,,100.0,-0.8,0.54,0.0,13,2026-07-02 18:20:24.428456
MAL-COBH-O,saturday,pm_peak,4.5,100.0,0.0,0.0,0.0,46,2026-07-02 18:20:24.428456
DUB-BFT-I,weekday,pm_peak,4.5,100.0,0.49,2.87,0.0,45,2026-07-02 18:20:24.428456
DUB-EUROPORT-I,weekday,pm_peak,4.5,93.4,1.63,1.96,0.0,183,2026-07-02 18:20:24.428456
DUB-GALWAY-I,saturday,pm_peak,4.5,100.0,0.51,0.87,0.0,91,2026-07-02 18:20:24.428456
DUB-MAYNOOTH-I,weekday,evening,4.5,99.2,0.96,1.44,0.0,257,2026-07-02 18:20:24.428456
DUB-MAYNOOTH-O,weekday,pm_peak,4.5,97.7,2.71,1.84,0.0,486,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-O,weekday,evening,4.5,100.0,-0.71,3.12,0.0,142,2026-07-02 18:20:24.428456
DUB-SLIGO-I,weekday,evening,1.5,52.9,3.62,2.77,0.0,34,2026-07-02 18:20:24.428456
DUB-SLIGO-O,weekday,pm_peak,2.5,71.3,2.59,2.27,0.0,80,2026-07-02 18:20:24.428456
DUB-TRALEE-O,saturday,pm_peak,4.5,100.0,0.16,1.35,0.0,57,2026-07-02 18:20:24.428456
DUB-WATERFORD-O,saturday,evening,4.5,100.0,2.77,2.79,0.0,88,2026-07-02 18:20:24.428456
GALWAY-LIM-I,saturday,pm_peak,4.5,100.0,0.0,0.0,0.0,46,2026-07-02 18:20:24.428456
1 39A c a,weekday,pm_peak,1.0,48.1,8.12,8.36,0.0,1295,2026-07-02 18:20:24.428456
1 40D c a,weekday,evening,4.5,100.0,-0.05,0.59,0.0,832,2026-07-02 18:20:24.428456
1 43 c a,weekday,pm_peak,3.5,78.3,1.85,2.65,0.0,226,2026-07-02 18:20:24.428456
1 47 c a,weekday,evening,4.5,99.2,0.12,0.8,0.0,480,2026-07-02 18:20:24.428456
1 70 c a,weekday,pm_peak,2.0,70.7,3.99,5.93,0.0,482,2026-07-02 18:20:24.428456
1 70 c a,weekday,evening,4.5,96.3,0.53,2.66,0.0,670,2026-07-02 18:20:24.428456
1 74,weekday,evening,3.5,89.8,0.79,2.83,0.0,1491,2026-07-02 18:20:24.428456
1 7A c a,weekday,evening,4.5,99.6,0.08,0.76,0.0,1534,2026-07-02 18:20:24.428456
1 F1 a,weekday,evening,4.5,92.5,0.89,3.73,0.0,2153,2026-07-02 18:20:24.428456
1 F2 a,weekday,evening,4.5,97.8,0.31,1.73,0.0,2549,2026-07-02 18:20:24.428456
1 H1 c a,weekday,evening,4.5,100.0,0.05,0.4,0.0,1086,2026-07-02 18:20:24.428456
1 L54 b,weekday,pm_peak,4.5,100.0,-0.3,1.85,0.0,230,2026-07-02 18:20:24.428456
1 L54 b,weekday,evening,4.5,99.7,0.08,0.56,0.0,658,2026-07-02 18:20:24.428456
1 X25 c,weekday,pm_peak,4.0,100.0,-9.61,6.82,0.0,68,2026-07-02 18:20:24.428456
1 150 c a,weekday,evening,4.5,98.8,0.13,0.85,0.0,823,2026-07-02 18:20:24.428456
1 24 a,weekday,pm_peak,1.0,54.0,5.32,5.49,0.0,404,2026-07-02 18:20:24.428456
2 132 d,weekday,pm_peak,1.0,0.0,10.25,0.77,0.0,35,2026-07-02 18:20:24.428456
2 132 d,weekday,evening,,0.0,9.75,0.46,0.0,16,2026-07-02 18:20:24.428456
2 170 a,weekday,pm_peak,,0.0,6.37,0.72,0.0,22,2026-07-02 18:20:24.428456
2 101 d a,weekday,pm_peak,1.0,30.9,12.09,10.74,0.0,666,2026-07-02 18:20:24.428456
2 187 c a,weekday,pm_peak,4.5,100.0,1.33,1.01,0.0,36,2026-07-02 18:20:24.428456
2 2 c b,weekday,pm_peak,1.0,0.0,12.83,12.08,0.0,79,2026-07-02 18:20:24.428456
2 205 c a,weekday,pm_peak,1.0,39.4,10.16,9.47,0.0,426,2026-07-02 18:20:24.428456
2 208 c a,weekday,evening,1.0,27.5,27.76,30.07,0.0,418,2026-07-02 18:20:24.428456
2 212 c a,weekday,pm_peak,1.0,39.4,8.71,9.58,0.0,170,2026-07-02 18:20:24.428456
2 214 c a,weekday,pm_peak,1.0,34.2,17.73,17.03,0.0,430,2026-07-02 18:20:24.428456
2 223 c b,weekday,pm_peak,1.0,0.0,51.26,18.65,0.0,149,2026-07-02 18:20:24.428456
2 23 e,weekday,pm_peak,4.5,100.0,0.07,0.91,0.0,34,2026-07-02 18:20:24.428456
2 233 c a,weekday,pm_peak,1.0,9.7,20.49,8.48,0.0,113,2026-07-02 18:20:24.428456
2 235 c a,weekday,pm_peak,1.5,49.7,5.97,4.43,0.0,177,2026-07-02 18:20:24.428456
2 241 c b,weekday,pm_peak,1.0,0.0,14.88,6.25,0.0,128,2026-07-02 18:20:24.428456
2 270 c b,weekday,evening,4.5,95.7,-0.08,2.36,0.0,70,2026-07-02 18:20:24.428456
2 275 c a,weekday,evening,,100.0,0.0,0.0,0.0,22,2026-07-02 18:20:24.428456
2 279 c a,weekday,evening,4.5,100.0,-0.74,2.56,0.0,46,2026-07-02 18:20:24.428456
2 302 c a,weekday,evening,4.5,100.0,-0.21,0.51,0.0,47,2026-07-02 18:20:24.428456
2 323 c a,weekday,pm_peak,4.5,100.0,0.34,2.99,0.0,111,2026-07-02 18:20:24.428456
2 332 d,weekday,pm_peak,4.5,100.0,0.73,1.39,0.0,59,2026-07-02 18:20:24.428456
2 343 c b,weekday,evening,4.5,92.6,0.83,3.29,0.0,162,2026-07-02 18:20:24.428456
2 355 d a,weekday,evening,1.0,39.3,7.92,4.26,0.0,61,2026-07-02 18:20:24.428456
2 360A c a,weekday,pm_peak,1.0,59.0,6.78,7.18,0.0,134,2026-07-02 18:20:24.428456
2 40 d,weekday,pm_peak,1.0,0.0,29.03,12.43,0.0,215,2026-07-02 18:20:24.428456
2 401 c a,weekday,evening,4.5,94.3,0.93,1.89,0.0,282,2026-07-02 18:20:24.428456
2 402 c a,weekday,evening,3.5,78.1,2.99,4.17,0.0,137,2026-07-02 18:20:24.428456
2 407 i j,weekday,pm_peak,1.0,28.6,26.41,16.15,0.0,126,2026-07-02 18:20:24.428456
2 422 c a,weekday,pm_peak,4.5,100.0,1.46,1.34,0.0,46,2026-07-02 18:20:24.428456
2 490 c a,weekday,evening,,45.0,4.18,2.43,0.0,20,2026-07-02 18:20:24.428456
2 51 c b,weekday,evening,1.0,32.7,15.4,14.51,0.0,321,2026-07-02 18:20:24.428456
2 55 c a,weekday,evening,1.0,19.0,18.08,9.46,0.0,63,2026-07-02 18:20:24.428456
2 73 c a,weekday,evening,,100.0,1.21,0.44,0.0,16,2026-07-02 18:20:24.428456
2 A1 c a,weekday,evening,4.5,92.9,1.13,3.14,0.0,99,2026-07-02 18:20:24.428456
2 D5 c a,weekday,pm_peak,3.5,89.1,-0.97,2.83,0.0,101,2026-07-02 18:20:24.428456
2 13 d,weekday,evening,1.0,56.1,10.37,12.49,0.0,66,2026-07-02 18:20:24.428456
10000 GREEN g a,sunday,pm_peak,,72.7,1.26,3.92,0.0,11,2026-07-02 18:20:24.428456
3 L15 a,weekday,evening,4.5,100.0,0.62,0.98,0.0,52,2026-07-02 18:20:24.428456
3 L26 a,weekday,pm_peak,1.0,33.3,8.09,5.99,0.0,48,2026-07-02 18:20:24.428456
3 L27 a,weekday,pm_peak,4.0,90.9,-1.7,8.52,0.0,44,2026-07-02 18:20:24.428456
3 L27 a,weekday,evening,4.0,90.4,-0.33,6.24,0.0,157,2026-07-02 18:20:24.428456
3 L52 b a,weekday,evening,1.0,37.0,6.39,4.8,0.0,73,2026-07-02 18:20:24.428456
3 111 e a,weekday,evening,1.0,11.8,12.6,7.14,0.0,136,2026-07-02 18:20:24.428456
3 114 d a,weekday,pm_peak,1.0,26.3,8.61,4.34,0.0,57,2026-07-02 18:20:24.428456
3 S4 a,weekday,pm_peak,4.5,99.4,-1.11,4.04,0.0,167,2026-07-02 18:20:24.428456
3 S8 a,weekday,pm_peak,3.5,78.9,2.07,3.83,0.0,123,2026-07-02 18:20:24.428456
3 220 d a,weekday,evening,1.5,43.6,6.58,4.35,0.0,188,2026-07-02 18:20:24.428456
3 238 d a,weekday,evening,4.5,97.8,1.23,1.74,0.0,90,2026-07-02 18:20:24.428456
3 59 d a,weekday,pm_peak,,100.0,0.71,0.82,0.0,10,2026-07-02 18:20:24.428456
WFRD W2 c c,weekday,pm_peak,3.5,84.1,2.53,3.55,0.0,207,2026-07-02 18:20:24.428456
WFRD W2 c c,weekday,evening,4.5,95.3,1.39,1.77,0.0,86,2026-07-02 18:20:24.428456
03C 120 e a,weekday,pm_peak,3.5,81.7,2.35,3.25,0.0,816,2026-07-02 18:20:24.428456
03C 120C e a,weekday,pm_peak,3.5,87.0,1.63,1.86,0.0,92,2026-07-02 18:20:24.428456
MAL-COBH-I,weekday,pm_peak,,100.0,0.0,0.0,0.0,11,2026-07-02 18:20:24.428456
DUB-DRO/DUN-I,weekday,pm_peak,4.5,93.1,1.78,1.61,0.0,159,2026-07-02 18:20:24.428456
DUB-EUROPORT-O,weekday,pm_peak,1.5,55.9,5.23,2.98,0.0,102,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-I,saturday,evening,3.5,80.5,3.68,2.44,0.0,41,2026-07-02 18:20:24.428456
DUB-WATERFORD-I,saturday,pm_peak,,100.0,0.0,0.0,0.0,23,2026-07-02 18:20:24.428456
GALWAY-LIM-I,saturday,evening,4.5,100.0,0.0,0.0,0.0,108,2026-07-02 18:20:24.428456
1 4 c a,weekday,pm_peak,2.5,72.3,2.72,4.31,0.0,827,2026-07-02 18:20:24.428456
1 4 c a,weekday,evening,4.5,91.1,1.37,4.4,0.0,869,2026-07-02 18:20:24.428456
1 41B c a,weekday,pm_peak,1.0,0.0,6.55,1.31,0.0,60,2026-07-02 18:20:24.428456
1 41C c a,weekday,pm_peak,1.0,55.8,5.57,6.08,0.0,355,2026-07-02 18:20:24.428456
1 42 c a,weekday,pm_peak,3.5,81.9,2.14,3.35,0.0,564,2026-07-02 18:20:24.428456
1 42 c a,weekday,evening,4.5,99.2,0.14,0.87,0.0,1541,2026-07-02 18:20:24.428456
1 44 c a,weekday,evening,4.5,98.2,0.35,1.8,0.0,1060,2026-07-02 18:20:24.428456
1 122 c a,weekday,pm_peak,2.0,73.6,4.44,7.35,0.0,734,2026-07-02 18:20:24.428456
1 53 c a,weekday,pm_peak,2.5,72.2,2.6,3.23,0.0,79,2026-07-02 18:20:24.428456
1 56A c a,weekday,evening,4.5,100.0,-0.01,0.01,0.0,252,2026-07-02 18:20:24.428456
1 60,weekday,pm_peak,1.0,55.6,8.33,7.53,0.0,54,2026-07-02 18:20:24.428456
1 68 c a,weekday,evening,4.5,100.0,0.0,0.08,0.0,491,2026-07-02 18:20:24.428456
1 7 c a,weekday,pm_peak,3.0,79.6,3.59,8.25,0.0,191,2026-07-02 18:20:24.428456
1 77A c a,weekday,pm_peak,1.0,51.7,6.27,6.18,0.0,555,2026-07-02 18:20:24.428456
1 C1 c,weekday,pm_peak,3.5,77.2,2.73,4.36,0.0,548,2026-07-02 18:20:24.428456
1 13 c a,weekday,pm_peak,2.5,67.0,4.18,4.95,0.0,570,2026-07-02 18:20:24.428456
1 E1 a,weekday,evening,4.5,94.6,0.83,3.85,0.0,2914,2026-07-02 18:20:24.428456
1 F2 a,weekday,pm_peak,3.5,79.4,2.43,3.75,0.0,587,2026-07-02 18:20:24.428456
1 G2 a,weekday,pm_peak,2.5,68.2,3.16,4.11,0.0,793,2026-07-02 18:20:24.428456
1 H1 c a,weekday,pm_peak,4.5,90.4,1.2,2.45,0.0,468,2026-07-02 18:20:24.428456
1 L25,weekday,evening,4.5,99.4,0.06,0.58,0.0,879,2026-07-02 18:20:24.428456
1 L58 b,weekday,pm_peak,4.5,100.0,0.41,0.73,0.0,134,2026-07-02 18:20:24.428456
1 L59 b,weekday,evening,4.5,96.9,0.5,2.49,0.0,383,2026-07-02 18:20:24.428456
1 L89 a,weekday,pm_peak,,100.0,1.4,0.0,0.0,11,2026-07-02 18:20:24.428456
1 P29 c,weekday,pm_peak,1.0,55.7,7.68,6.22,0.0,79,2026-07-02 18:20:24.428456
1 142 e a,weekday,pm_peak,1.0,0.0,22.55,7.22,0.0,114,2026-07-02 18:20:24.428456
1 16 c a,weekday,evening,4.5,96.9,0.34,1.94,0.0,3582,2026-07-02 18:20:24.428456
1 24 a,weekday,evening,4.5,93.4,0.85,3.23,0.0,907,2026-07-02 18:20:24.428456
1 33 c a,weekday,evening,4.5,96.1,1.51,4.54,0.0,925,2026-07-02 18:20:24.428456
1 37 c a,weekday,evening,4.5,95.5,0.46,2.16,0.0,1739,2026-07-02 18:20:24.428456
2 173 d,weekday,pm_peak,1.0,41.4,7.03,7.16,0.0,191,2026-07-02 18:20:24.428456
2 175 d a,weekday,evening,,95.2,4.61,21.96,0.0,21,2026-07-02 18:20:24.428456
2 182 c a,weekday,pm_peak,,76.2,4.42,3.3,0.0,21,2026-07-02 18:20:24.428456
2 2 c b,weekday,evening,2.5,67.7,3.63,4.76,0.0,133,2026-07-02 18:20:24.428456
2 101X c a,weekday,pm_peak,1.0,0.0,20.63,4.28,0.0,62,2026-07-02 18:20:24.428456
2 219 c a,weekday,pm_peak,1.0,0.0,69.44,10.35,0.0,181,2026-07-02 18:20:24.428456
2 22 d,weekday,pm_peak,1.0,0.0,12.18,2.9,0.0,45,2026-07-02 18:20:24.428456
2 220 c b,weekday,pm_peak,1.0,2.2,36.61,18.81,0.0,1695,2026-07-02 18:20:24.428456
2 239 c a,weekday,pm_peak,4.0,96.7,-4.9,14.75,0.0,61,2026-07-02 18:20:24.428456
2 240 c a,weekday,pm_peak,,86.7,2.4,2.28,0.0,15,2026-07-02 18:20:24.428456
2 257 c a,weekday,evening,,88.0,12.67,35.02,0.0,25,2026-07-02 18:20:24.428456
2 260 c b,weekday,pm_peak,1.0,13.4,10.0,3.81,0.0,82,2026-07-02 18:20:24.428456
2 301 c a,weekday,evening,4.5,100.0,0.75,1.23,0.0,176,2026-07-02 18:20:24.428456
2 304 c b,weekday,pm_peak,4.5,91.7,1.49,2.66,0.0,791,2026-07-02 18:20:24.428456
2 304A c b,weekday,evening,4.5,100.0,-0.07,1.28,0.0,180,2026-07-02 18:20:24.428456
2 306 c c,weekday,evening,4.5,100.0,-0.04,0.2,0.0,52,2026-07-02 18:20:24.428456
2 317 a,weekday,evening,,100.0,0.14,0.56,0.0,16,2026-07-02 18:20:24.428456
2 321 c a,weekday,pm_peak,,100.0,3.35,0.53,0.0,22,2026-07-02 18:20:24.428456
2 323 c a,weekday,evening,4.5,100.0,0.11,0.96,0.0,44,2026-07-02 18:20:24.428456
2 330 a,weekday,pm_peak,4.0,94.9,1.41,10.14,0.0,195,2026-07-02 18:20:24.428456
2 345 c a,weekday,pm_peak,4.5,100.0,1.25,1.54,0.0,34,2026-07-02 18:20:24.428456
2 350 c c,weekday,evening,1.0,22.0,14.69,10.03,0.0,150,2026-07-02 18:20:24.428456
2 365 c a,weekday,pm_peak,,0.0,14.8,12.68,0.0,8,2026-07-02 18:20:24.428456
2 405 d,weekday,pm_peak,1.5,56.4,4.8,3.93,0.0,721,2026-07-02 18:20:24.428456
2 446 c a,weekday,evening,,94.7,-0.01,2.44,0.0,19,2026-07-02 18:20:24.428456
2 450 c b,weekday,evening,1.0,37.9,5.78,8.28,0.0,58,2026-07-02 18:20:24.428456
2 456 c a,weekday,pm_peak,4.5,100.0,1.49,1.37,0.0,103,2026-07-02 18:20:24.428456
2 55 c a,weekday,pm_peak,1.0,0.0,21.09,4.68,0.0,228,2026-07-02 18:20:24.428456
2 64 d a,weekday,evening,1.0,15.2,33.08,18.13,0.0,79,2026-07-02 18:20:24.428456
2 CW1 a,weekday,evening,3.5,88.1,1.15,2.29,0.0,67,2026-07-02 18:20:24.428456
2 NV1 a,weekday,pm_peak,4.5,100.0,1.35,0.9,0.0,69,2026-07-02 18:20:24.428456
2 NV1 a,weekday,evening,4.5,100.0,0.03,0.2,0.0,37,2026-07-02 18:20:24.428456
2 NX c a,weekday,pm_peak,1.0,13.9,12.4,7.73,0.0,739,2026-07-02 18:20:24.428456
2 S2 c a,weekday,evening,2.0,71.6,4.63,7.14,0.0,141,2026-07-02 18:20:24.428456
2 115X a,weekday,pm_peak,3.5,75.3,1.56,3.15,0.0,89,2026-07-02 18:20:24.428456
2 162 c a,weekday,pm_peak,,0.0,89.36,0.77,0.0,3,2026-07-02 18:20:24.428456
2 174B c a,weekday,pm_peak,,0.0,5.95,0.0,0.0,11,2026-07-02 18:20:24.428456
2 107 c b,weekday,evening,,100.0,-1.85,0.64,0.0,11,2026-07-02 18:20:24.428456
GALWAY-LIM-O,saturday,pm_peak,,100.0,0.0,0.0,0.0,23,2026-07-02 18:20:24.428456
LIM-BALLYBROP-O,saturday,pm_peak,,100.0,0.0,0.0,0.0,12,2026-07-02 18:20:24.428456
2 235 c a,weekday,evening,,0.0,15.01,1.95,0.0,21,2026-07-02 18:20:24.428456
2 316 a,weekday,pm_peak,,100.0,3.99,0.72,0.0,2,2026-07-02 18:20:24.428456
2 187 c a,weekday,evening,,100.0,-0.44,0.69,0.0,27,2026-07-02 18:20:24.428456
DUB-LIMERICK-O,saturday,evening,,100.0,1.45,1.51,0.0,11,2026-07-02 18:20:24.428456
DUB-WATERFORD-O,saturday,pm_peak,4.5,100.0,-0.67,2.55,0.0,45,2026-07-02 18:20:24.428456
2 272 d,weekday,evening,,50.0,5.57,4.69,0.0,26,2026-07-02 18:20:24.428456
2 14 d,weekday,evening,,0.0,61.84,5.97,0.0,11,2026-07-02 18:20:24.428456
2 100 c e,weekday,evening,,100.0,1.71,0.73,0.0,3,2026-07-02 18:20:24.428456
2 243 c a,weekday,evening,,41.7,5.09,0.92,0.0,12,2026-07-02 18:20:24.428456
2 313 d a,weekday,pm_peak,,100.0,-0.58,0.0,0.0,11,2026-07-02 18:20:24.428456
2 423 c a,weekday,pm_peak,4.5,100.0,0.39,0.53,0.0,34,2026-07-02 18:20:24.428456
2 492 c a,weekday,evening,,91.7,0.33,2.37,0.0,12,2026-07-02 18:20:24.428456
DUB-BFT-O,weekday,pm_peak,2.0,67.6,4.85,5.17,0.0,34,2026-07-02 18:20:24.428456
2 2 c b,weekday,night,,100.0,0.0,0.0,0.0,10,2026-07-02 18:20:24.428456
2 330X a,weekday,pm_peak,4.5,100.0,2.8,0.58,0.0,44,2026-07-02 18:20:24.428456
2 70 d,weekday,pm_peak,,100.0,1.01,1.05,0.0,22,2026-07-02 18:20:24.428456
1 99 a,weekday,pm_peak,,100.0,-3.05,0.0,0.0,11,2026-07-02 18:20:24.428456
2 14 d,weekday,pm_peak,,0.0,53.82,,0.0,1,2026-07-02 18:20:24.428456
2 162 c a,weekday,evening,,0.0,97.98,5.55,0.0,9,2026-07-02 18:20:24.428456
